Place_ID X Date,target
0OS9LVX X 2020-01-02,88.515144
0OS9LVX X 2020-01-03,79.6486
0OS9LVX X 2020-01-04,101.522064
0OS9LVX X 2020-01-05,88.467834
0OS9LVX X 2020-01-06,63.823067
0OS9LVX X 2020-01-07,106.03034
0OS9LVX X 2020-01-08,94.12893
0OS9LVX X 2020-01-09,155.82204
0OS9LVX X 2020-01-10,49.888615
0OS9LVX X 2020-01-11,57.95977
0OS9LVX X 2020-01-12,67.47856
0OS9LVX X 2020-01-13,61.6166
0OS9LVX X 2020-01-14,54.02854
0OS9LVX X 2020-01-15,56.901333
0OS9LVX X 2020-01-16,36.58907
0OS9LVX X 2020-01-17,62.9127
0OS9LVX X 2020-01-18,74.67413
0OS9LVX X 2020-01-19,55.208908
0OS9LVX X 2020-01-20,41.755344
0OS9LVX X 2020-01-21,40.45664
0OS9LVX X 2020-01-22,73.98481
0OS9LVX X 2020-01-23,38.518238
0OS9LVX X 2020-01-24,42.349735
0OS9LVX X 2020-01-25,29.904427
0OS9LVX X 2020-01-26,37.54792
0OS9LVX X 2020-01-27,52.190224
0OS9LVX X 2020-01-28,61.6595
0OS9LVX X 2020-01-29,77.83318
0OS9LVX X 2020-01-30,129.55057
0OS9LVX X 2020-01-31,99.44131
0OS9LVX X 2020-02-01,80.21251
0OS9LVX X 2020-02-02,93.96954
0OS9LVX X 2020-02-03,101.74538
0OS9LVX X 2020-02-04,116.6964
0OS9LVX X 2020-02-05,101.48574
0OS9LVX X 2020-02-06,111.377235
0OS9LVX X 2020-02-07,108.54615
0OS9LVX X 2020-02-08,96.20962
0OS9LVX X 2020-02-09,66.41778
0OS9LVX X 2020-02-10,93.08582
0OS9LVX X 2020-02-11,57.20939
0OS9LVX X 2020-02-12,92.86782
0OS9LVX X 2020-02-13,92.18074
0OS9LVX X 2020-02-14,98.842545
0OS9LVX X 2020-02-15,77.49768
0OS9LVX X 2020-02-16,49.25985
0OS9LVX X 2020-02-17,66.09793
0OS9LVX X 2020-02-18,81.50529
0OS9LVX X 2020-02-19,97.36718
0OS9LVX X 2020-02-20,139.4778
0OS9LVX X 2020-02-21,110.51472
0OS9LVX X 2020-02-22,84.07555
0OS9LVX X 2020-02-23,60.93955
0OS9LVX X 2020-02-24,71.847694
0OS9LVX X 2020-02-25,73.18674
0OS9LVX X 2020-02-26,73.646675
0OS9LVX X 2020-02-27,94.347374
0OS9LVX X 2020-02-28,67.21695
0OS9LVX X 2020-02-29,66.01435
0OS9LVX X 2020-03-01,64.678894
0OS9LVX X 2020-03-02,111.3338
0OS9LVX X 2020-03-03,77.77674
0OS9LVX X 2020-03-04,74.9942
0OS9LVX X 2020-03-05,80.601326
0OS9LVX X 2020-03-06,75.93809
0OS9LVX X 2020-03-07,64.76129
0OS9LVX X 2020-03-08,53.00706
0OS9LVX X 2020-03-09,53.259735
0OS9LVX X 2020-03-10,52.319004
0OS9LVX X 2020-03-11,48.699852
0OS9LVX X 2020-03-12,65.57622
0OS9LVX X 2020-03-13,77.3557
0OS9LVX X 2020-03-14,44.74078
0OS9LVX X 2020-03-15,48.613243
0OS9LVX X 2020-03-16,52.549183
0OS9LVX X 2020-03-17,56.506416
0OS9LVX X 2020-03-18,72.45346
